Feature,Split,Model,Mean_Abs_SHAP
PERS_EDU_MIN,1,Random Forest,0.0013385921722418124
PovertyRate,1,Random Forest,0.0022535452694759104
UnemploymentRate,1,Random Forest,0.011630803237233511
State_Alabama,1,Random Forest,9.35928391011623e-05
State_Alaska,1,Random Forest,2.911739665986834e-06
State_Arizona,1,Random Forest,4.530733653930101e-05
State_Arkansas,1,Random Forest,2.345186277489721e-05
State_California,1,Random Forest,0.006503459940413725
State_Colorado,1,Random Forest,4.7415330242560795e-05
State_Connecticut,1,Random Forest,2.7002072707540706e-05
State_Delaware,1,Random Forest,4.886490367252817e-06
State_District of Columbia,1,Random Forest,0.0007372289987881453
State_Florida,1,Random Forest,0.00033729987073866937
State_Georgia,1,Random Forest,0.00020268354410129193
State_Hawaii,1,Random Forest,8.213945727559598e-06
State_Idaho,1,Random Forest,1.0314868435348815e-05
State_Illinois,1,Random Forest,0.0002978220575821442
State_Indiana,1,Random Forest,9.027598867156619e-05
State_Iowa,1,Random Forest,7.879585593137548e-06
State_Kansas,1,Random Forest,2.6243305459066016e-05
State_Kentucky,1,Random Forest,1.2260423099008907e-05
State_Louisiana,1,Random Forest,8.025507442171812e-05
State_Maine,1,Random Forest,4.052083046513492e-06
State_Maryland,1,Random Forest,0.00028583923716488704
State_Massachusetts,1,Random Forest,3.732361190632511e-05
State_Michigan,1,Random Forest,6.246422631113815e-05
State_Minnesota,1,Random Forest,1.603786931795477e-05
State_Mississippi,1,Random Forest,6.271791218792863e-05
State_Missouri,1,Random Forest,9.334219220253485e-05
State_Montana,1,Random Forest,3.853294732521872e-06
State_Nebraska,1,Random Forest,4.5917144076368086e-06
State_Nevada,1,Random Forest,2.4593690907108113e-05
State_New Hampshire,1,Random Forest,1.383237809101083e-06
State_New Jersey,1,Random Forest,0.00015378931363608383
State_New Mexico,1,Random Forest,8.939342496835856e-06
State_New York,1,Random Forest,0.001060288184784675
State_North Carolina,1,Random Forest,0.00011341040013019372
State_North Dakota,1,Random Forest,2.912139323320021e-06
State_Ohio,1,Random Forest,4.7358657767081894e-05
State_Oklahoma,1,Random Forest,5.725049193788051e-05
State_Oregon,1,Random Forest,8.348508091913864e-06
State_Pennsylvania,1,Random Forest,0.00015804865873269699
State_Rhode Island,1,Random Forest,1.7888169707991907e-06
State_South Carolina,1,Random Forest,0.0003367978251401586
State_South Dakota,1,Random Forest,1.360527015287376e-06
State_Tennessee,1,Random Forest,0.0004521328136324274
State_Texas,1,Random Forest,0.0020567616345420476
State_Utah,1,Random Forest,1.0367681384568812e-05
State_Vermont,1,Random Forest,5.20844386800035e-07
State_Virginia,1,Random Forest,0.000139122884701105
State_Washington,1,Random Forest,2.028013880548281e-05
State_West Virginia,1,Random Forest,1.7215412949838733e-05
State_Wisconsin,1,Random Forest,2.922263760424494e-05
State_Wyoming,1,Random Forest,6.909099090416319e-07
Agentype_County police,1,Random Forest,0.00010646425625098704
Agentype_Municipal police,1,Random Forest,0.005948868971380897
Agentype_Primary federal LE,1,Random Forest,8.108179662832941e-07
Agentype_Primary state LE,1,Random Forest,0.0002652901864054497
Agentype_Regional police,1,Random Forest,6.127942780828334e-07
Agentype_Sheriff,1,Random Forest,0.0033187818080165424
Agentype_Special police,1,Random Forest,1.7556864469268888e-06
Agentype_Tribal,1,Random Forest,1.4485266904405796e-06
Month_April,1,Random Forest,3.515836231360026e-05
Month_August,1,Random Forest,3.173533021628895e-05
Month_December,1,Random Forest,9.762119818517017e-05
Month_February,1,Random Forest,8.845404954785364e-05
Month_January,1,Random Forest,5.2248074013097394e-05
Month_July,1,Random Forest,3.089247633528726e-05
Month_June,1,Random Forest,3.614657730870596e-05
Month_March,1,Random Forest,3.3604534894357735e-05
Month_May,1,Random Forest,2.9967334126769326e-05
Month_November,1,Random Forest,7.061092951112613e-05
Month_October,1,Random Forest,3.838734467671435e-05
Month_September,1,Random Forest,3.297935600633708e-05
VicSex_Female,1,Random Forest,0.008191309957350906
VicSex_Male,1,Random Forest,0.005412888823365719
VicSex_Unknown,1,Random Forest,6.818132496163125e-06
VicRace_American Indian or Alaskan Native,1,Random Forest,9.712861970275831e-06
VicRace_Asian,1,Random Forest,1.3593412647142064e-05
VicRace_Black,1,Random Forest,0.0059564078960593885
VicRace_Native Hawaiian or Pacific Islander,1,Random Forest,6.747091712869391e-07
VicRace_Unknown,1,Random Forest,2.445903887286643e-05
VicRace_White,1,Random Forest,0.0057647200351414385
Weapon_Asphyxiation - includes death by gas,1,Random Forest,9.484784862149821e-06
"Weapon_Blunt object - hammer, club, etc",1,Random Forest,0.00014538476135672848
Weapon_Drowning,1,Random Forest,3.5598851824930793e-06
Weapon_Explosives,1,Random Forest,2.0792843855418226e-06
Weapon_Fire,1,Random Forest,5.71531203226677e-05
"Weapon_Firearm, type not stated",1,Random Forest,0.010459690867903054
"Weapon_Handgun - pistol, revolver, etc",1,Random Forest,0.0013255835818530278
Weapon_Knife or cutting instrument,1,Random Forest,0.005472839815287522
"Weapon_Narcotics or drugs, sleeping pills",1,Random Forest,1.1727016259995262e-05
Weapon_Other gun,1,Random Forest,2.7000923089472402e-05
Weapon_Other or type unknown,1,Random Forest,0.002176095397136931
"Weapon_Personal weapons, includes beating",1,Random Forest,0.002092346342085847
Weapon_Poison - does not include gas,1,Random Forest,1.043647164809012e-06
Weapon_Pushed or thrown out window,1,Random Forest,8.104549388911647e-07
Weapon_Rifle,1,Random Forest,0.0009450556225214774
Weapon_Shotgun,1,Random Forest,0.0014217898766105237
Weapon_Strangulation - hanging,1,Random Forest,0.0004326854457526838
Weapon_Weapon Not Reported,1,Random Forest,3.874127881882961e-05
Circumstance_All other manslaughter by negligence,1,Random Forest,9.610542812932313e-06
Circumstance_All suspected felony type,1,Random Forest,0.003985263926988795
Circumstance_Argument over money or property,1,Random Forest,0.0026411785561409875
Circumstance_Arson,1,Random Forest,0.0001669587045990844
Circumstance_Brawl due to influence of alcohol,1,Random Forest,0.0024322657564329535
Circumstance_Brawl due to influence of narcotics,1,Random Forest,6.977636482667662e-05
Circumstance_Burglary,1,Random Forest,3.4303461063575746e-05
Circumstance_Child killed by babysitter,1,Random Forest,4.0143631523429e-05
Circumstance_Circumstances undetermined,1,Random Forest,0.08381055373690842
Circumstance_Felon killed by police,1,Random Forest,0.0020625342061772562
Circumstance_Felon killed by private citizen,1,Random Forest,0.004079304915206084
Circumstance_Gambling,1,Random Forest,4.808253956181042e-06
Circumstance_Gangland killings,1,Random Forest,0.00012697975461301993
Circumstance_Institutional killings,1,Random Forest,1.0710963049207044e-05
Circumstance_Juvenile gang killings,1,Random Forest,0.0028876979701746444
Circumstance_Larceny,1,Random Forest,3.908684975590899e-06
Circumstance_Lovers triangle,1,Random Forest,0.002823787439786096
Circumstance_Motor vehicle theft,1,Random Forest,1.5632340772433517e-06
Circumstance_Narcotic drug laws,1,Random Forest,0.0008657977322910729
Circumstance_Other,1,Random Forest,0.012414305308307293
Circumstance_Other - not specified,1,Random Forest,0.0013396541669618955
Circumstance_Other arguments,1,Random Forest,0.06304060374184324
Circumstance_Other negligent handling of gun,1,Random Forest,3.023590937009875e-07
Circumstance_Other sex offense,1,Random Forest,4.002800986096149e-06
Circumstance_Prostitution and commercialized vice,1,Random Forest,1.6717836735070797e-06
Circumstance_Rape,1,Random Forest,0.0001061066709044121
Circumstance_Robbery,1,Random Forest,0.002299306684610653
Circumstance_Sniper attack,1,Random Forest,3.204566810458285e-06
Year,1,XGBoost,0.18337638676166534
VicAge,1,XGBoost,0.11494423449039459
VicCount,1,XGBoost,0.0318441316485405
OffCount,1,XGBoost,0.45842599868774414
Monthly_Overlap,1,XGBoost,0.1136336699128151
FTSWORN,1,XGBoost,0.04819884151220322
PTSWORN,1,XGBoost,0.007438231259584427
TOTFTEMP,1,XGBoost,0.05886669456958771
OPBUDGET,1,XGBoost,0.06899639964103699
DET_SWN,1,XGBoost,0.056616026908159256
PERS_TRN_ACAD,1,XGBoost,0.05348192900419235
PERS_TRN_INSVC,1,XGBoost,0.03964841738343239
PERS_EDU_MIN,1,XGBoost,0.008155714720487595
PovertyRate,1,XGBoost,0.05973814055323601
UnemploymentRate,1,XGBoost,0.10936500132083893
State_Alabama,1,XGBoost,0.006985856220126152
State_Alaska,1,XGBoost,2.9287415600265376e-05
State_Arizona,1,XGBoost,0.002505828393623233
State_Arkansas,1,XGBoost,0.00436090724542737
State_California,1,XGBoost,0.12674646079540253
State_Colorado,1,XGBoost,0.0034083996433764696
State_Connecticut,1,XGBoost,0.0016786075429990888
State_Delaware,1,XGBoost,0.0017370178829878569
State_District of Columbia,1,XGBoost,0.008731710724532604
State_Florida,1,XGBoost,0.014426913112401962
State_Georgia,1,XGBoost,0.006015128456056118
State_Hawaii,1,XGBoost,1.0316998668713495e-05
State_Idaho,1,XGBoost,0.000685569946654141
State_Illinois,1,XGBoost,0.00460357591509819
State_Indiana,1,XGBoost,0.004643946886062622
State_Iowa,1,XGBoost,0.0016368096694350243
State_Kansas,1,XGBoost,0.0038434509187936783
State_Kentucky,1,XGBoost,0.0017448397120460868
State_Louisiana,1,XGBoost,0.004502953961491585
State_Maine,1,XGBoost,0.0007804540800862014
State_Maryland,1,XGBoost,0.002709152875468135
State_Massachusetts,1,XGBoost,0.0011862118262797594
State_Michigan,1,XGBoost,0.008544868789613247
State_Minnesota,1,XGBoost,0.0028473357670009136
State_Mississippi,1,XGBoost,0.004904359113425016
State_Missouri,1,XGBoost,0.0014427104033529758
State_Montana,1,XGBoost,0.00034060038160532713
State_Nebraska,1,XGBoost,0.0
State_Nevada,1,XGBoost,0.0020292673725634813
State_New Hampshire,1,XGBoost,0.0
State_New Jersey,1,XGBoost,0.0029637967236340046
State_New Mexico,1,XGBoost,0.0014036197680979967
State_New York,1,XGBoost,0.009538022801280022
State_North Carolina,1,XGBoost,0.001433356897905469
State_North Dakota,1,XGBoost,0.00035165384178981185
State_Ohio,1,XGBoost,0.002745605306699872
State_Oklahoma,1,XGBoost,0.0008110153139568865
State_Oregon,1,XGBoost,1.3835124264005572e-05
State_Pennsylvania,1,XGBoost,0.011684698984026909
State_Rhode Island,1,XGBoost,0.0
State_South Carolina,1,XGBoost,0.009962891228497028
State_South Dakota,1,XGBoost,0.0007504704408347607
State_Tennessee,1,XGBoost,0.013736939989030361
State_Texas,1,XGBoost,0.018300067633390427
State_Utah,1,XGBoost,0.0
State_Vermont,1,XGBoost,0.0
State_Virginia,1,XGBoost,0.009141144342720509
State_Washington,1,XGBoost,0.001984415343031287
State_West Virginia,1,XGBoost,0.0032777145970612764
State_Wisconsin,1,XGBoost,0.0012590469559654593
State_Wyoming,1,XGBoost,0.0
Agentype_County police,1,XGBoost,0.0002683891507331282
Agentype_Municipal police,1,XGBoost,0.03349145129323006
Agentype_Primary federal LE,1,XGBoost,0.0
Agentype_Primary state LE,1,XGBoost,0.0030312584713101387
Agentype_Regional police,1,XGBoost,5.110916026751511e-05
Agentype_Sheriff,1,XGBoost,0.013999633491039276
Agentype_Special police,1,XGBoost,0.0
Agentype_Tribal,1,XGBoost,2.2572450689040124e-05
Month_April,1,XGBoost,0.001691867015324533
Month_August,1,XGBoost,0.00032252343953587115
Month_December,1,XGBoost,0.023119976744055748
Month_February,1,XGBoost,0.006928899325430393
Month_January,1,XGBoost,0.005442031659185886
Month_July,1,XGBoost,0.000405683385906741
